인덱스,자재코드,자재내역,플랜트,특별재고,저장위치,배치,기말수량,기말금액,단가,대분류,소분류,유효기한,남은일,유효기한구간,3평판,예측부진재고,예측부진재고금액,판매개선율,권장판매량
2730,9311953,이지듀디더블유이지에프멜라토닝원데이앰플30ML(인도네시아),1510,nan,5000,D250729004,779.0,398069.0,511.0,기타,기타,2028-04-09,754,24개월 이상,0.0,0.0,0.0,,
2731,9311954,이지듀멜라글루타치온크림50ML(인도네시아),1510,nan,5000,D250729005,819.0,526617.0,643.0,기타,기타,2028-04-27,772,24개월 이상,0.0,0.0,0.0,,
2732,9311954,이지듀멜라글루타치온크림50ML(인도네시아),1510,nan,5010,D250729005,0.0,0.0,643.0,기타,기타,2028-04-27,772,24개월 이상,0.0,0.0,0.0,,
2733,9311954,이지듀멜라글루타치온크림50ML(인도네시아),1510,nan,6020,D250729005,160.0,102880.0,643.0,기타,기타,2028-04-27,772,24개월 이상,0.0,0.0,0.0,,
2734,9311980,이지듀클리어징크스팟15ML(인도네시아),1510,nan,5000,D250729006,1000.0,516000.0,516.0,기타,기타,2027-07-03,473,18개월 미만,0.0,0.0,0.0,,
2735,9311995,이지듀클리어아하2%토너200ML(인도네시아),1510,nan,5000,D250729007,860.0,549540.0,639.0,기타,기타,2027-07-04,474,18개월 미만,0.0,0.0,0.0,,
2736,9311995,이지듀클리어아하2%토너200ML(인도네시아),1510,nan,5010,D250729007,0.0,0.0,639.0,기타,기타,2027-07-04,474,18개월 미만,0.0,0.0,0.0,,
2737,9311995,이지듀클리어아하2%토너200ML(인도네시아),1510,nan,6020,D250729007,140.0,89460.0,639.0,기타,기타,2027-07-04,474,18개월 미만,0.0,0.0,0.0,,
2738,9311996,이지듀클리어B3+B5세럼29ML(인도네시아),1510,nan,5000,D250729008,800.0,412800.0,516.0,기타,기타,2027-07-03,473,18개월 미만,0.0,0.0,0.0,,
2739,9311996,이지듀클리어B3+B5세럼29ML(인도네시아),1510,nan,5010,D250729008,0.0,0.0,516.0,기타,기타,2027-07-03,473,18개월 미만,0.0,0.0,0.0,,
