자재코드,순매출수량,개월수,3평판
9308763.0,0,3,0.0
9308764.0,38265,3,12755.0
9308765.0,647,3,215.66666666666666
9308771.0,563,3,187.66666666666666
9308772.0,584,3,194.66666666666666
9308773.0,2335,3,778.3333333333334
9308774.0,470,3,156.66666666666666
9308775.0,388,3,129.33333333333334
9308812.0,1010,3,336.6666666666667
9308813.0,1,1,1.0
9308816.0,504,2,252.0
9308818.0,101,1,101.0
9308848.0,13771,3,4590.333333333333
9308948.0,4016,2,2008.0
9309071.0,-7,1,-7.0
9309145.0,191800,3,63933.333333333336
9309146.0,25577,3,8525.666666666666
9309148.0,2323,3,774.3333333333334
9309149.0,1497,3,499.0
9309160.0,1068,3,356.0
9309213.0,2134,3,711.3333333333334
9309214.0,60624,3,20208.0
9309250.0,301,3,100.33333333333333
9309251.0,250,3,83.33333333333333
9309252.0,200,3,66.66666666666667
9309253.0,200,3,66.66666666666667
9309314.0,0,2,0.0
9309315.0,0,2,0.0
9309330.0,242,1,242.0
9309392.0,15603,3,5201.0
9309401.0,5952,3,1984.0
9309503.0,3,3,1.0
9309505.0,7,2,3.5
9309506.0,41,2,20.5
9309507.0,4277,3,1425.6666666666667
9309508.0,21,3,7.0
9309509.0,439,1,439.0
9309510.0,236,3,78.66666666666667
9309511.0,2726,3,908.6666666666666
9309515.0,3733,3,1244.3333333333333
9309522.0,1768,2,884.0
9309592.0,0,1,0.0
9309593.0,0,1,0.0
9309594.0,0,1,0.0
9309744.0,25,3,8.333333333333334
9309753.0,9337,3,3112.3333333333335
9309754.0,-195,1,-195.0
9309756.0,0,1,0.0
9309757.0,0,1,0.0
9309795.0,5974,3,1991.3333333333333
9309797.0,38,3,12.666666666666666
9309798.0,23597,3,7865.666666666667
9309831.0,749,3,249.66666666666666
9309834.0,490,3,163.33333333333334
9309835.0,9931,3,3310.3333333333335
9309837.0,-397,3,-132.33333333333334
9309838.0,6076,3,2025.3333333333333
9309839.0,178570,3,59523.333333333336
9309900.0,38008,3,12669.333333333334
9309902.0,2481,3,827.0
9309903.0,177345,3,59115.0
9309904.0,37363,3,12454.333333333334
9309908.0,18046,3,6015.333333333333
9309910.0,2507,3,835.6666666666666
9309930.0,234,3,78.0
9310121.0,17753,3,5917.666666666667
9310226.0,0,1,0.0
9310228.0,10,2,5.0
9310233.0,32538,3,10846.0
9310446.0,249,3,83.0
9310448.0,261,3,87.0
9310449.0,1027,3,342.3333333333333
9310450.0,3,1,3.0
9310451.0,536,3,178.66666666666666
9310452.0,510,3,170.0
9310454.0,2777,3,925.6666666666666
9310455.0,1517,3,505.6666666666667
9310457.0,2180,3,726.6666666666666
9310458.0,9233,3,3077.6666666666665
9310560.0,3934,3,1311.3333333333333
9310561.0,1011,3,337.0
9310562.0,5006,3,1668.6666666666667
9310563.0,1642,3,547.3333333333334
9310593.0,595,3,198.33333333333334
9310594.0,-1867,3,-622.3333333333334
9310595.0,1871,3,623.6666666666666
9310613.0,0,1,0.0
9310614.0,5173,3,1724.3333333333333
9310616.0,173168,3,57722.666666666664
9310619.0,65,3,21.666666666666668
9310695.0,5002,3,1667.3333333333333
9310696.0,10068,3,3356.0
9310697.0,4755,3,1585.0
9310698.0,648,3,216.0
9310699.0,465,3,155.0
9310772.0,88,3,29.333333333333332
9310773.0,112,2,56.0
9310774.0,66,3,22.0
9310805.0,1632,3,544.0
9310806.0,8627,3,2875.6666666666665
9310807.0,2415,3,805.0
9310845.0,1168,3,389.3333333333333
9310850.0,277,2,138.5
9310851.0,190,3,63.333333333333336
9310878.0,631,3,210.33333333333334
9310904.0,0,1,0.0
9310905.0,91,3,30.333333333333332
9310908.0,2,1,2.0
9310964.0,82,3,27.333333333333332
9311056.0,18456,3,6152.0
9311058.0,2675,3,891.6666666666666
9311060.0,6959,3,2319.6666666666665
9311061.0,28,2,14.0
9311062.0,11025,3,3675.0
9311067.0,4597,3,1532.3333333333333
9311068.0,2688,3,896.0
9311069.0,2036,3,678.6666666666666
9311071.0,73,3,24.333333333333332
9311086.0,16,2,8.0
9311087.0,97,1,97.0
9311121.0,729,3,243.0
9311122.0,2700,3,900.0
9311124.0,534,3,178.0
9311125.0,45,3,15.0
9311126.0,550,2,275.0
9311127.0,4650,3,1550.0
9311128.0,1400,3,466.6666666666667
9311129.0,23,3,7.666666666666667
9311130.0,108,3,36.0
9311131.0,39,3,13.0
9311135.0,618,3,206.0
9311136.0,2160,3,720.0
9311137.0,643,3,214.33333333333334
9311138.0,28,3,9.333333333333334
9311169.0,539,3,179.66666666666666
9311190.0,396,3,132.0
9311191.0,2329,3,776.3333333333334
9311192.0,2241,3,747.0
9311194.0,481,3,160.33333333333334
9311212.0,2,1,2.0
9311214.0,0,1,0.0
9311330.0,7630,3,2543.3333333333335
9311331.0,7443,3,2481.0
9311384.0,12,3,4.0
9311387.0,-46,3,-15.333333333333334
9311388.0,8117,3,2705.6666666666665
9311417.0,528,3,176.0
9311674.0,7511,3,2503.6666666666665
9311676.0,10,3,3.3333333333333335
9311677.0,37,3,12.333333333333334
9311678.0,1,2,0.5
9311679.0,9,2,4.5
9311713.0,750,3,250.0
9311718.0,0,2,0.0
9311719.0,146,3,48.666666666666664
9311730.0,2,1,2.0
9311868.0,519,3,173.0
9311869.0,45496,3,15165.333333333334
9311880.0,567,3,189.0
9311894.0,4,2,2.0
9312032.0,1,3,0.3333333333333333
9312121.0,59,3,19.666666666666668
9312132.0,172,3,57.333333333333336
9312144.0,856,3,285.3333333333333
9312145.0,1680,2,840.0
9312146.0,4236,2,2118.0
9312147.0,102,3,34.0
9312148.0,2800,3,933.3333333333334
9312149.0,6047,3,2015.6666666666667
9312165.0,1003,3,334.3333333333333
9312166.0,2298,3,766.0
9312167.0,2747,3,915.6666666666666
9312168.0,2876,3,958.6666666666666
9312169.0,2724,3,908.0
9312180.0,2298,3,766.0
9312181.0,1416,3,472.0
9312182.0,1123,3,374.3333333333333
9312183.0,981,2,490.5
9312184.0,700,2,350.0
9312185.0,192,2,96.0
9312186.0,20748,2,10374.0
9312293.0,1329,3,443.0
9312348.0,19585,3,6528.333333333333
9312350.0,14255,3,4751.666666666667
9312351.0,70848,3,23616.0
9312352.0,27,3,9.0
9312354.0,1017,3,339.0
9312355.0,291,3,97.0
9312357.0,182,3,60.666666666666664
9312358.0,185,3,61.666666666666664
9312366.0,17205,3,5735.0
9312367.0,6645,3,2215.0
9312377.0,488,3,162.66666666666666
9312379.0,105,3,35.0
9312411.0,188,1,188.0
9312413.0,965,2,482.5
9312414.0,380,2,190.0
9312415.0,195,2,97.5
9312416.0,115,1,115.0
9312417.0,786,2,393.0
9312418.0,206,1,206.0
9312423.0,726,1,726.0
9312424.0,1093,2,546.5
9312425.0,1821,2,910.5
9312426.0,2029,2,1014.5
9312427.0,1845,2,922.5
9312428.0,1086,2,543.0
9312429.0,724,1,724.0
9312440.0,109,3,36.333333333333336
9312441.0,338,3,112.66666666666667
9312442.0,56,3,18.666666666666668
9312443.0,66,3,22.0
9312444.0,57,2,28.5
9312445.0,318,3,106.0
9312447.0,31,3,10.333333333333334
9312491.0,540,1,540.0
9312492.0,540,1,540.0
9312493.0,540,1,540.0
9312526.0,2,1,2.0
9312545.0,10171,2,5085.5
9312546.0,0,1,0.0
9312724.0,1584,2,792.0
9312725.0,13392,3,4464.0
9312726.0,3888,2,1944.0
9312727.0,2184,3,728.0
9312728.0,12936,3,4312.0
9312730.0,3864,3,1288.0
9312736.0,0,1,0.0
9312747.0,519,3,173.0
9312752.0,620,3,206.66666666666666
9312809.0,5,2,2.5
9312822.0,600,2,300.0
9312825.0,299,3,99.66666666666667
9312828.0,209,3,69.66666666666667
9312874.0,263,3,87.66666666666667
9312875.0,190,3,63.333333333333336
9312876.0,210,3,70.0
9312895.0,1502,3,500.6666666666667
9313025.0,5152,2,2576.0
9313026.0,24413,2,12206.5
9313027.0,5565,2,2782.5
9313028.0,2372,2,1186.0
9313029.0,12189,2,6094.5
9313030.0,2792,2,1396.0
9313042.0,4835,1,4835.0
9313046.0,537,1,537.0
9313047.0,2628,1,2628.0
9313048.0,1024,1,1024.0
9313049.0,604,1,604.0
9313100.0,2682,2,1341.0
9313116.0,124011,2,62005.5
9313117.0,4434,2,2217.0
9313118.0,456,2,228.0
9313119.0,56661,2,28330.5
9313130.0,3448,1,3448.0
9313134.0,20,2,10.0
9313169.0,0,1,0.0
9313188.0,12683,2,6341.5
9313190.0,126,3,42.0
9313287.0,14600,2,7300.0
9313345.0,93552,2,46776.0
9313448.0,309,2,154.5
9313514.0,119,1,119.0
9313515.0,858,1,858.0
9313516.0,129,1,129.0
9313770.0,24,1,24.0
9313771.0,39,1,39.0
