자재,자재 내역,Stock Quantity on Period End,3평판,대분류,소분류,재고일수
2303307,멜라토닝비타씨토너150ml_단상자,980.0,0.0,세트포장재,세트포장재,999.0
2303308,DW-EGF멜라선와이드패치(4g*4매입)_지퍼백ver_단상자,5313.0,0.0,세트포장재,세트포장재,999.0
2303310,디더블유이지에프멜라토닝원데이앰플30ml_AD(2024)_단상자,5000.0,0.0,세트포장재,세트포장재,999.0
2303323,[부자재]이지듀멜라데이쉴드에센셜세트_슬리브,5.0,0.0,세트포장재,세트포장재,999.0
2303459,이지듀클리어라하바디미스트100ML_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303460,이지듀디더블유이지에프멜라토닝원데이앰플1ML*7ea_용기덧방라벨,7000.0,0.0,세트포장재,세트포장재,999.0
2303461,이지듀디더블유이지에프멜라토닝원데이앰플1ML_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303465,이지듀멜라글루타치온크림105ML_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303466,이지듀디더블유이지에프와이드(프로텍션)패치4G_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303467,이지듀멜라비토닝앰플쿠션23호베이지_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303468,이지듀멜라비토닝앰플쿠션21호내추럴_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303469,이지듀멜라비토닝앰플쿠션19호페어_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303476,이지듀멜라토닝멜라씨비타에센스토너30ML_용기덧방라벨,750.0,0.0,세트포장재,세트포장재,999.0
2303477,이지듀멜라토닝멜라씨비타에센스토너150ML_용기덧방라벨,860.0,0.0,세트포장재,세트포장재,999.0
2303478,이지듀클리어B3+B5세럼29ML_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303479,이지듀멜라에이레티노0.03프로크림30ML_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303480,이지듀멜라에이레티노0.3프로트리트먼트1ML_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303481,이지듀베리어리페어클렌저150ML_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303482,이지듀베리어리페어크림30G_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303484,이지듀베리어리페어크림50ML_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303485,이지듀베리어리페어크림105ML_용기덧방라벨,1000.0,0.0,세트포장재,세트포장재,999.0
2303486,이지듀베리어리페어마스크25G(*4매입)_용기덧방라벨,4000.0,0.0,세트포장재,세트포장재,999.0
