자재,평가 유형,플랜트,저장 위치,배치,특별 재고,공급업체,고객,판매 오더,판매 오더 품목,WBS 요소,Order/WBS/Vendor/Customer,CoCode,평가 영역,평가클래스,G/L 계정,자재 유형,자재 그룹,ExtMatlGrp,기존 자재 번호,구매 그룹,자재 내역,기본 단위,통화,가격 관리,Stock Quantity on Period Start,Value on Period Start,Total Goods Receipt Quantity,Total Goods Receipt Value,Total Goods Issue Quantity,Total Goods Issue Value,Stock Quantity on Period End,Stock Value on Period End,Receipt From Purchase Quantity,Receipt From Purchase Value,Issue To Sales Quantity,Issue To Sales Value,Receipt From Manuf. Quantity,Receipt From Manuf. Value,Issue To Manuf. Quantity,Issue To Manuf. Value,Receipt From Transfer Quantity,Receipt From Transfer Value,Issue To Transfer Quantity,Issue To Transfer Value,Quantity of Other Received Goods,Value of Other Received Goods,Quantity of Other Issued Goods,Value of Other Issued Goods,Issue To Internal Purposes Qty,Issue To Internal Purposes Val,Debit Revaluation,Credit Revaluation,유효 기한,days_to_expiry,expiry_bucket,단위원가,대분류,소분류,3평판,개월수
1000940,,1510,,B08682,O,10064301,,,,,0010064301,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,297.002,504083,0.0,0,0.0,0,297.002,504083.0386811576,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08683,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,2286.215,3880252,0.0,0,0.0,-1,2286.215,3880250.6524482756,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08755,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,2414.588,4098132,0.0,0,0.0,-2,2414.588,4098130.1681573153,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08763,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,2255.726,3828505,0.0,0,0.0,-1,2255.726,3828503.5673567615,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08891,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,1434.427,2434565,475.2,806564,-1192.296,-2023648,717.331,1217481.3308334404,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,475.2,806564,-1192.296,-2023609,0.0,0,0,0,,,유효기한 없음,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08892,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,404.688,686852,0.0,0,0.0,0,404.688,686851.7947953222,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08893,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,89112.981,151245994,0.0,0,-31690.08,-53785672,57422.901,97460321.56674796,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-31690.08,-53785604,0.0,0,0,0,,,유효기한 없음,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08894,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,24795.52,42083914,0.0,0,-2498.91,-4241263,22296.61,37842650.62554692,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-2498.91,-4241245,0.0,0,0,0,,,유효기한 없음,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08895,O,10005002,,,,,0010005002,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,95115.072,161432974,0.0,0,0.0,-73,95115.072,161432901.18631217,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,1697.2378592775724,원료,원료,0.0,
1000940,,1510,,B08895,O,20012520,,,,,0020012520,1500,1510,3000,,ROH1,B100,,EGFL2502,170.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,G,KRW,V,220.376,374031,0.0,0,0.0,-1,220.376,374030.4904761543,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,,유효기한 없음,1697.2378592775724,원료,원료,0.0,
