인덱스,자재코드,자재내역,플랜트,특별재고,저장위치,배치,기말수량,기말금액,단가,대분류,소분류,유효기한,남은일,유효기한구간,3평판
16,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08763,2255.726,3828503.576863742,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
17,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08891,0.0,0.0,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
18,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08892,0.0,0.0,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
19,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08893,102.946,174723.84909506506,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
20,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08894,5046.85,8565704.911365466,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
21,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08895,0.0,0.0,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
22,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08895,95115.072,161432901.58718404,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
23,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08896,95400.0,161916492.17715314,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
24,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08897,200.0,339447.57269843423,1697.2378634921713,원료,원료,2027-08-06,514.0,18개월 미만,0.0
25,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08897,134.741,228687.5269647987,1697.2378634921713,원료,원료,2027-08-06,514.0,18개월 미만,0.0
26,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08897,48407.818,82159581.59863788,1697.2378634921713,원료,원료,2027-08-06,514.0,18개월 미만,0.0
27,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08898,27606.239,46854354.09941426,1697.2378634921713,원료,원료,2027-08-19,527.0,18개월 미만,0.0
28,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08898,15336.24,26029247.211603176,1697.2378634921713,원료,원료,2027-08-19,527.0,18개월 미만,0.0
29,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B09348,17522.838,29740424.129439432,1697.2378634921713,원료,원료,2027-08-31,539.0,18개월 미만,0.0
30,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,nan,5000.0,B08897,2200.0,3733923.299682777,1697.2378634921713,원료,원료,2027-08-06,514.0,18개월 미만,0.0
31,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,nan,5000.0,B08898,3600.0,6110056.308571816,1697.2378634921713,원료,원료,2027-08-19,527.0,18개월 미만,0.0
32,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,nan,5000.0,B09348,65800.0,111678251.41778487,1697.2378634921713,원료,원료,2027-08-31,539.0,18개월 미만,0.0
